date,action,price,quantity,realized_pnl,unrealized_pnl,balance
2025-02-02 00:00:00,SHORT,97700.59,-0.030706058172217793,0,0.0,1000.0
2025-02-03 00:00:00,SHORT,101328.52,0,0,-334.198288874203,1000.0
2025-02-04 00:00:00,SHORT,97763.13,0,0,-5.761070634272253,1000.0
2025-02-05 00:00:00,SHORT,96612.43,0,0,100.23931278204185,1000.0
2025-02-06 00:00:00,SHORT,96554.35,0,0,105.58953635796792,1000.0
2025-02-07 00:00:00,SHORT,96506.8,0,0,109.96975555623506,1000.0
2025-02-08 00:00:00,SHORT,96444.74,0,0,115.68660946673833,1000.0
2025-02-09 00:00:00,SHORT,96462.75,0,0,114.0275611436939,1000.0
2025-02-10 00:00:00,SHORT,97430.82,0,0,24.850719939356615,1000.0
2025-02-11 00:00:00,SHORT,95778.2,0,0,177.08705750906924,1000.0
2025-02-12 00:00:00,SHORT,97869.99,0,0,-15.604818763121887,1000.0
2025-02-13 00:00:00,SHORT,96608.14,0,0,100.63449975071771,1000.0
2025-02-14 00:00:00,SHORT,97500.48,0,0,18.433767902527563,1000.0
2025-02-15 00:00:00,SHORT,97569.66,0,0,12.061032589464784,1000.0
2025-02-16 00:00:00,SHORT,96118.12,0,0,145.7742476273686,1000.0
2025-02-17 00:00:00,SHORT,95780.0,0,0,176.92124479493899,1000.0
2025-02-18 00:00:00,SHORT,95671.74,0,0,186.8939583681114,1000.0
2025-02-19 00:00:00,SHORT,96644.37,0,0,97.29705828797972,1000.0
2025-02-20 00:00:00,SHORT,98305.0,0,0,-55.67714585961079,1000.0
2025-02-21 00:00:00,SHORT,96181.98,0,0,139.89158100273505,1000.0
2025-02-22 00:00:00,SHORT,96551.01,0,0,105.89721106085454,1000.0
2025-02-23 00:00:00,SHORT,96258.0,0,0,132.88875737597868,1000.0
2025-02-24 00:00:00,SHORT,91552.88,0,0,566.3158226577744,1000.0
2025-02-25 00:00:00,SHORT,88680.4,0,0,830.9234365933719,1000.0
2025-02-26 00:00:00,SHORT,84250.09,0,0,1239.0355063362463,1000.0
2025-02-27 00:00:00,SHORT,84708.58,0,0,1196.8002445021054,1000.0
2025-02-28 00:00:00,SHORT,84349.94,0,0,1229.837506610758,1000.0
2025-03-01 00:00:00,SHORT,86064.53,0,0,1071.8926057662495,1000.0
2025-03-02 00:00:00,SHORT,94270.0,0,0,316.0196883150856,1000.0
2025-03-03 00:00:00,SHORT,86220.61,0,0,1057.51480108769,1000.0
2025-03-04 00:00:00,SHORT,87281.98,0,0,959.7433342009501,1000.0
2025-03-05 00:00:00,SHORT,90606.01,0,0,653.5397585623589,1000.0
2025-03-06 00:00:00,SHORT,89931.89,0,0,715.6384623675249,1000.0
2025-03-07 00:00:00,SHORT,86801.75,0,0,1003.9812451490822,1000.0
2025-03-08 00:00:00,SHORT,86222.45,0,0,1057.3453036465799,1000.0
2025-03-09 00:00:00,SHORT,80734.37,0,0,1562.8972148479352,1000.0
2025-03-10 00:00:00,SHORT,78595.86,0,0,1759.8928522335427,1000.0
2025-03-11 00:00:00,SHORT,82932.99,0,0,1360.3643539921297,1000.0
2025-03-12 00:00:00,SHORT,83680.12,0,0,1291.5401022655033,1000.0
2025-03-13 00:00:00,SHORT,81115.78,0,0,1527.762421905538,1000.0
2025-03-14 00:00:00,SHORT,83983.2,0,0,1263.620925932996,1000.0
2025-03-15 00:00:00,SHORT,84338.44,0,0,1230.8968656176994,1000.0
2025-03-16 00:00:00,SHORT,82574.53,0,0,1393.38503482937,1000.0
2025-03-17 00:00:00,SHORT,84010.03,0,0,1261.149395310714,1000.0
2025-03-18 00:00:00,SHORT,82715.03,0,0,1380.4424313097802,1000.0
2025-03-19 00:00:00,SHORT,86845.94,0,0,999.910543017191,1000.0
2025-03-20 00:00:00,SHORT,84223.39,0,0,1241.4950615958408,1000.0
2025-03-21 00:00:00,SHORT,84088.79,0,0,1253.8941678857827,1000.0
2025-03-22 00:00:00,SHORT,83840.59,0,0,1276.7578988008158,1000.0
2025-03-23 00:00:00,SHORT,86082.5,0,0,1070.237242170185,1000.0
2025-03-24 00:00:00,SHORT,87498.16,0,0,939.8292272339394,1000.0
2025-03-25 00:00:00,SHORT,87392.87,0,0,949.5283498287984,1000.0
2025-03-26 00:00:00,SHORT,86909.17,0,0,994.0859108425035,1000.0
2025-03-27 00:00:00,SHORT,87232.01,0,0,964.3464793815474,1000.0
2025-03-28 00:00:00,SHORT,84424.38,0,0,1222.980229699738,1000.0
2025-03-29 00:00:00,SHORT,82648.54,0,0,1386.5673687333929,1000.0
2025-03-30 00:00:00,SHORT,82389.99,0,0,1410.3845227546724,1000.0
2025-03-31 00:00:00,SHORT,82550.01,0,0,1395.6437724685186,1000.0
2025-04-01 00:00:00,SHORT,85158.34,0,0,1155.3691743314957,1000.0
2025-04-02 00:00:00,SHORT,82516.29,0,0,1398.7499973132203,1000.0
2025-04-03 00:00:00,SHORT,83213.09,0,0,1334.562053310016,1000.0
2025-04-04 00:00:00,SHORT,83889.87,0,0,1272.2183151606353,1000.0
2025-04-05 00:00:00,SHORT,83537.99,0,0,1304.6328584095545,1000.0
2025-04-06 00:00:00,SHORT,78430.0,0,0,1775.1715726588752,1000.0
2025-04-07 00:00:00,SHORT,79163.24,0,0,1707.6268423762838,1000.0
2025-04-08 00:00:00,SHORT,76322.42,0,0,1969.3179949066835,1000.0
2025-04-09 00:00:00,SHORT,82615.22,0,0,1389.636746308287,1000.0
2025-04-10 00:00:00,SHORT,79607.3,0,0,1666.7208458004188,1000.0
2025-04-11 00:00:00,SHORT,83423.84,0,0,1315.148148030631,1000.0
2025-04-12 00:00:00,SHORT,85276.9,0,0,1144.4476435608017,1000.0
2025-04-13 00:00:00,SHORT,83760.0,0,0,1284.1817024851127,1000.0
2025-04-14 00:00:00,SHORT,84591.58,0,0,1207.578070920554,1000.0
2025-04-15 00:00:00,SHORT,83643.99,0,0,1294.868331910789,1000.0
2025-04-16 00:00:00,SHORT,84030.38,0,0,1259.2747904592995,1000.0
2025-04-17 00:00:00,SHORT,84947.91,0,0,1174.7536017950347,1000.0
2025-04-18 00:00:00,SHORT,84474.69,0,0,1218.3457643398053,1000.0
2025-04-19 00:00:00,SHORT,85077.01,0,0,1162.8611454649354,1000.0
2025-04-20 00:00:00,SHORT,85179.24,0,0,1153.443904484097,1000.0
